Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI_14,Entry_Signal,Exit_Signal,Position,Equity
2026-05-27,748.5316,749.4492,746.2973,748.9505,42106300,733.4041,698.1627,71.1969,0,0,1,115728.0469
2026-05-28,752.6609,753.2096,747.3048,748.3222,41562600,735.5496,699.871,73.275,0,0,1,116366.4698
2026-05-29,754.5361,756.1321,752.7508,753.9577,55075700,737.4357,701.803,74.1859,0,0,1,116656.3858
2026-06-01,756.5908,758.3264,752.7507,753.419,43634900,739.3253,703.8086,75.1839,0,0,1,116974.0543
2026-06-02,757.6182,758.4461,754.8055,755.0848,31581900,741.398,706.0229,75.69,0,0,1,117132.8981
2026-06-03,752.3019,756.8502,751.6336,756.2019,51402500,742.9176,707.995,67.9657,0,0,1,116310.9552
2026-06-04,755.1446,756.3614,749.539,750.1674,49923000,744.0776,710.0679,69.7437,0,0,1,116750.4577
2026-06-05,735.6548,750.8856,733.64,750.3769,93989400,744.3753,711.6783,49.4703,0,0,1,113737.2018
2026-06-08,737.3204,743.4248,736.2931,741.4498,49319100,744.4551,713.5561,50.7869,0,0,1,113994.7225
2026-06-09,735.1561,744.9808,720.7333,741.7192,87683500,744.3429,715.61,49.0003,0,0,1,113660.0966
2026-06-10,723.5659,736.4827,723.4662,731.5055,60341300,743.707,717.4744,40.7358,0,0,1,111868.1812
2026-06-11,735.8643,738.0985,722.5485,726.8874,86330500,743.4801,719.2183,50.3123,0,0,1,113769.5877
2026-06-12,739.844,742.5271,733.1413,738.8067,57079500,743.1599,720.9441,52.9612,0,0,1,114384.8818
2026-06-15,752.8904,754.7356,749.8283,749.918,60176400,743.9409,722.919,60.4119,0,0,1,116401.9414
2026-06-16,748.402,753.4988,747.9531,752.6111,67093100,744.5234,724.7423,57.0632,0,0,1,115708.0039
2026-06-17,739.056,750.2173,737.3205,749.3594,85945200,744.884,726.3729,50.7543,0,0,1,114263.0573
2026-06-18,746.74,748.23,743.86,747.76,80875700,745.2537,727.8222,55.1452,0,0,1,115451.0494
2026-06-22,744.39,750.18,743.13,747.7,46628100,745.4327,729.1468,53.572,0,0,1,115087.7273
2026-06-23,733.58,739.63,732.3,733.81,66846800,744.9255,730.2641,46.9383,0,0,1,113416.4286
2026-06-24,733.24,739.95,730.84,735.17,57439500,744.1544,731.2422,46.7423,0,0,1,113363.8582
2026-06-25,734.3,739.37,729.6,738.91,53934400,743.4428,732.0746,47.4788,0,0,1,113527.741
2026-06-26,728.99,736.53,716.58,728.95,71034000,742.2593,732.6916,44.1825,0,0,1,112706.7795
2026-06-29,741.0,741.56,732.09,736.53,58035200,741.5825,733.5145,52.2562,0,0,1,114563.6081
2026-06-30,746.77,748.02,740.89,741.29,55626000,741.0914,734.2836,55.5805,0,0,1,115455.6922
2026-07-01,745.76,749.44,742.38,745.0,47100900,740.4985,735.0608,54.8604,0,0,1,115299.5378
2026-07-02,744.78,751.31,740.03,747.4,57447800,740.1224,735.911,54.1277,0,0,1,115148.0262
